source,target,edge
a  I,awesome  hostel,reviewing
we,Peru,stayed for
very South American location,very South American Standards,were
even  we,us,respected
great  we,great  us,gave
when  we,amazon,let
second  we,even  tv,were
rooms,cool  nights,were
Location,de San Pedros Armas,was excellent
free pool which,free pool internet,had
also  which,also  room,had
Worst  I,8  travel,placed
Loreto,pounds  comparison,is across
it,main  Cusco,is
much  it,reality,are
Yet  stuff,very  suggestions,was
clean bag bed,you,Bring
this,hot  water,turned
location,right  town,is perfect
It,good  restaurants,'s safe
so  you,light  rest,means
discounted  we,Chavez Expeditions,stayed
offers,discounted  price,is
friends,center,chose
staff,time,was
even  it,us,seemed
why  we,Visa,is
pay  working,how  cash,knew
who,how card evening,told
somewhat  noise,local ear plugs,was
when  we,430am,been
when  they,us,had
then  beds,then  us,were clean
really  they,even  nightstand,be sure
room,nothing  picture,looked
I,more,expect more
we,same price comparison,been amazing
actually  breakfast,unexpectedly  reception,is
everywhere bedlinen bathroom,foul bedlinen mold,horrible
next  I,next  reception,was
I,very Machu stay,stayed at
negative  this,negative  reviews,am
First  place,all  location,is
otherwise  location,short  spectacular,average
room,#  plaza,had
laundry,reasonable  cost,stored
Just  flipside,public South America,is
Taxi drivers,5  am,expect
view,overall budget price range,is worth
We,here  recommendation,came
staff,first  moment,were
price,private  bathroom,is
nice  Rooms,nice  people,were
we,what,was rude
rooms,mold,work
valuable  that,anything,have
personnel,single  room,stole
I,me,had
only  personnel,second  key,has
so  it,bad  hostel,wss
Resumiendo,las este,guardadas
El,dice tenemos habitación,mismo
las 11 la noche que,buscar puerta fría,fuimos
Agua de la,helada,ducha
We,promise,found
It,4  am,freezing
times  they,then  key,locked in
best  it,hot  water,was non
when  I,Cusco,stumbled across
very  price,2 Plaza del Armes,was
manager,enough  English,speaks enough
they,course,were
problem,night,is at
locals,literally  street,pile
night  dogs,it,bark over
it,pile,comes at
2  I,higher San Blas,was potty
so  earplugs,them,barking
otherwise  I,problem,'s
even  I,it,was
just  they,towels,cut in
where  cold,bathroom,leaking
he,counter,apologize
shouldn´t  who,nice  Cusco,give
why  impressions,what,had
I,friends,mind
I,12  TV,had
you,sweatshirts,is
which,friends,is
main  you,easily  it,is
travel staff,enough  agencies,is
that,yourself,is poor
elevator,old  people,recommended
We,recently Cusco Peru,stayed at
It,different  rooms,is
they,time  day,offer
It,spanish,is helpful
so  we,hike,stayed
you,good  value,recommend
which,wifi,have
that  hotel,hotel,is nice
We,nights  hotel,stayed
room,high  shower,was clean
location,major railroad street,is
it,pretty  night,makes
We,all  anybody,walked
good  rooms,good  money,are clean
comfortable internet service,comfortable  beds,have comfortable
de  it,it,located
It,really  night,gets
round Machu which,round Machu Picchu,Prearranged
she,adequate  refund,refused
night  child,several  nights,noises through
good  you,pleasant  stuff,hostel with
thay,problems,is
they,just  life,arrived at
20  we,just Inca trail,were tired
they,30  minutes,asked
they,same  price,told
distance city centre we,double city centre walking,wanted
they,taxis,want
else  they,us,told
all  they,completely  unknown,arrived
they,room,com
needless  we,case,greeted by strange
you,place,avoid
when  we,30  minutes,booked
when  i,updates,Spoke
they,worse  raiting,called
So  we,new  own,cancelled
that,watter  rooms,met
better  we,better  choice,Hope
It,basic buffet breakfast,'s
cold  water,through  issue,recommend
Die ist zwar,schlafen leider zu denken,gleich
whatsapp,de reserva e chegada,confirmando
pq não no,pq não demos,preço
não,reserva,tinha
noite caçando outro,para dormir,lugar
how  it,strange  place,sure
smooth check they,even  reception,had
two  guy,quite smalltalk nothing,were tired
we,7,check
just  we,11,was
why  we,time,sure
they,several  times,messed
back  what,taxi,time
room,decent  beds,had
two  we,toilet,stay
you,electric water heater,get
el baño compartido,super pequeño,está
los uniqos hospedados,pagando cada tranquilos,responsables
que mucha,que,gente
cheap  it,cheap  accommodation,expect
luke  I,electric  it,was
we,gas,were upstairs
extra  I,extra  nights,booked
He,really  it,was
tight  you,tight  budget,is cheap
Also  we,breakfast,skipped
hot  I,shower,went
front  they,front  desk,went to
So  I,TWO  minutes,did
hot  shower,rooms,help
here  both,good  room,Stayed in
so  I,coffee,went
so  I,one,went down
least  sheets,warm  rooms,are
shared  bathroom,always toilet paper,is
hot  they,us,is
we,unnice  checkout,had
we,best  view,got
further  i,holidays,went with
itself  I,other  Peru,enjoy
sure  I,same  hostel,go to
rooms,new  pillows,are nice
so water washing,yourself,require minimal
overnight Inca this,overnight Inca trail,looses
it,4  days,meant
Breakfast,20  bread,is minimal
front  gate,minutes  door,locked
own bathroom change,stay,stayed for
Limbus bar,quite  night,be
one South this,worst  holidays,travelled across
that,4  pm,started
hot  we,5  days,had
hot  water,lame  excuses,told lame
tours,morning,took more
one south I,awful  hostel,travelled through
hostel,even  Euro,are in
me,experience,let
cleaning  guys,still  it,supposed
more  room,more  our,found empty
Moreover  we,once hour marmalade,had various
free Inka youth we,city,were
we,youth,recommend
We,key maccu blankets,booked
middel  who,station,charged
I,two Mirador del November,stayed in
mine,amazing  Cusco,are spacious
good  I,highly  it,'s
busca otro lugar,hospedarte,donde
de lejos de armas,1 grado Cusco,colores
it,5  AM,booked
they,us,know about
water,us,told
positive  water,positive  hosts,was
late  taxi,us,was
all  we,room,soap
Location,great San Blas Cuzco,is
bohemian  it,bohemian  neighborhood,'s
Private  bathroom,hot  water,are clean
I,main storage trekk,let
different  1,2  days,booked
They,finally  it,fixed
I,really  stay,recommend
bohemian  that,touristic  itself,reachable by
rarely  oxígen,luggage,is difficult
great  you,home,do
facility,large metal gate,was clean
I,definitely budget accommodations,consider
overall  it,own  bathroom,'s great
Four,July,stayed in
rooms,hot  water,are spacious
rooms,very  June,get
other  heating,extra  blankets,ask for extra
wonderful  which,great  night,is
I,highly El winter,recommend
maravilloso muy tranquilo,tu propia parrilla,puedes
Fuimos,y cuando llegamos,dos
door,huge  crack,had
it,night,was
sink,water,had
I,common  area,was
breakfast,2  bread,provide enough
It,two  nights,was affordable
Hostal,de  Armas,located
room,one  corner,was spacious
breakfast,cafe con leche,was poor
Paying,extra credit charge,entails extra
ago  I,Cusco,made
room,hostal,got to
It,room,was
they,one  night,cancel
It,horrible  service,has
I,Internet,compared to
I,two  Hotel,spent
Palccoyo that,12  hours,did
rooms,house,cleaned by
However  part,€  time,STOLEN
We,it,talked with
someone,money,claimed
We,police,called
we,enough  police,had enough
We,bundled Sacred Valley,stayed
We,reasonable  price,asked for
we,sleep,put on
that,half,asked for
we,paper towels,locked
that,safe  location,had
Alfredo,previous  coordination,respect
it,extra  cost,offered
even  it,security,were dirty
drunk  man,bathroom,walks into
that,refund,refused
clean airport place,bill,wanted
who,staffer,locked
us,us,let
that,business  hotel,was
We,fifth  elevator,got
It,us,got
We,4th  floor,stuck
me,end,ran
which,basement,sent
then  we,fifth  floor,met
I,superior Wayta street,had enough
La,super  mal,dueña
El hotel,se las fotos,como
El,suele recepción,dueño
coger un tren,23 que implicaba despiertos,horas
ha con salida,hora del desayuno,anterior
Hay que,que,decir
22  ao,no no banheiro cama,na
place,LGBTQ+  slightest,is
you,time,waste
I,terrible  consultation,is
incredibly trans approach,healing,begin
I,20min  consultation,regret
he,queer  trauma,understand
I,doctor,recommend
place,miraflores,is
I,that,give
tiny  which,cable,basic
which,cheap  cheese,include
breakfast,9,is until
numerous breakfast what,Bologna,clear
wifi,messages,is terrible
hotel one,ever  delivery,be
it,10  mins,is hot
really  it,nothing,was average
free  taxi,you,allows
bus taxi,bus depot,called
Apparently  lack,communication,was
Luckily  I,free  airport,receive
following,important  hotel,are
-No elevator -No you,heavy  stairs,prepared
-Breakfast,fruits,includes
you,departure,advised
3rd floor -Location,dead  street,is excellent
de Armas,downhill,is easy
Walking,along  altitude,be difficult
-Hot  Awesome,least,say
-Room,balcony,was nice
Better,cheaper,walk down
you,centrum,is near
altitude it,altitude sickness,be difficult
staff,very  english,is
en Nos ocasiones,Nos hotel,hospedamos
ruido los coches y,camiones que pasaban,escuchaba mucho
tenían,libres,que
precio de nuestra ya,justo por unos se,que
Fredy,de ningún momento,que
se puso nos dijo que,dejándonos en ese la,echó
EL HOTEL EN EL no,cara e vigilara su empleada,que
tenía motivos,se los clientes,que
el hotel está,en las habitaciones,en
de  esto,se los huéspedes,avisa
four  it,four  nights,stayed
door,room,drinking
she,very  him,was
he,worker,went
boss,receipt,paid
Then  he,7  pm,kicked
we,lights,turned
who,hostel,dealing with
otherwise  we,expensive  room,have
twin  which,twin  beds,asked for
toilet,brown  seat,had
us,time,was
location,especially  night,had
ejecutivo poner ese ya,ejecutivo poner ese palace,tiene
o,por trabajo,horas
hospedaje en aguas,hostal Hatun Wasi,pobre
30  soles,de y no pagarlos,que
Es económico,sé,pero
Nos ofreció buffet,Machu Picchu Machu que,mañana
dió  ninguna,la  entrada,solución
We,3 Bright Hostal,stayed for
front desk people,bad  attitude,had
bathrooms,towels,were clean
they,it,asked
We,too city centre,looking for
suppose,what,is in
we,mail,was horrible
we,them,told
We,very  accommodation,were
bit  this,fairly  Cusco,Note
We,40  airport,paid
taxi I,price comparisons,get
ideal  hostel,Cusco,say
steep  you,car,involves
you,them,charge in
hot water system,Cusco,is
Wifi,room,is available
exactly  you,exactly  what,offers
here  most,day,is
there  we,immediately  manager,got
we,better  one,was ok
other  it,other  guests,was
six  who,de  Armas,negotiated
price,group,was different
Always  we,four  days,ready
We,two  nights,slept
they,free  nights,said
suddenly  manager,1  night,asked
saying,what,said
when  hostels,cusco,and since
review,4  USD,Hope
else  Wifi,else  issue,patchy
bitingly  most,all party cheapness,hostel
I,5 Cusco friends,went to
We,what,went with
We,week Bright hostel it,found Bright
there  people,it,were
us,even  us,helped
mate de mate us,mate de mate us,were clean
nice  that,8 set 10soles,are
weak  you,room,is good
sometimes  hostel,water,were
You,upper breakfast floor,enjoy
it,hill,is unavailable
bit  I,bit  me,was
everywhere  I,towel,had
which,foul  bedroom,found
I,uncomfortable  bed,slept bad
reception,me,manned
how  place,7,experience
Me,como en casa,senti
Las,son muy bonitas,habitaciones
nous sommes senties,chez,comme
it,English,was
She,cold  room,showed
small  which,other  room,was dark
Hotel,tired  update,use
old town we,night,stayed near
We,hotel,find much
I,tea,was easy
early  taxi,rainy  departure,made sure
you,backpackers,recommend
you,7  airport,paved
we,early morning flight,chose
outside taxis we,outside taxis morning,offered
hotel,little  work,needs
Rather  it,big  spurt,shot
hot  water,5  minutes,took
Also  we,nowhere  them,had
we,already  inconveniences,helps
We,night  cusco,stayed
you,food,is
super  views,Cusco,upgraded to
there  which,restful  sleep,were
we,hot  eggs,was
so  I,late  departures,was
We,10  minutes,walked to
We,excellent tour advice,had
night  we,hours  one,spent
2 bedrooms we,2 bedrooms room,stayed in
even  I,services,insulted
we,course,came into
lot,laundry,were unacceptable
minutes  bus,it,wanted
it,5  minutes,freezing
so  I,times  corridors,awakened many
Even  it,means,try
who,rooms,opened
Finally woman attendant,incredibly  us,appeared
then booking I,hotel,acknowledge
worst  we,2  Ecuador,was
We,directly  airport,arrived on
matrimonial  we,matrimonial  which,told
They,single  beds,offered
we,pictures,was
blanket,one  bed,were shabby
either  we,one  wall,provided
big  half,trash,facing towards
only  one,same  price,asked
next  we,there  hostel,decided
just  it,order,was
upstairs  which,desperate  renovation,were other
Wifi,Samsung  laptop,work
communal  signal,heavily  room,was available
breakfast,even  check,widnessed
Only  They,already  kitchen,explanation
So  you,breakfast,get
We,two  stay,met
She,more check out,tried
Luckily  we,written booking us,had
adress,other Calle Siete street,is
Umina San Blas,low review sites,are
they,recently  people,guess
I,days Christmas day,booked
visible  I,alone kg info,carrying
receptionist lady,English,speak
sick guest she,booked  room,asked
they,room,explained
I,solution,understood
She,same  money,offered
me,same  money,is ok
She,own  cost,insisted
apparently  Wifi,place,asked
really  I,really  kitchen,tried
I,other  hotels,had
several  hrs,Cusco,were horrible
coldness,absolutely Christmas Day,shocked
hotel manager,future  guests,hope
Handtücher,Fäkalien,hatten
und Ratten mir vorher i,zu haben,die
con visa te,la que está lleva,ducha
10 cualquier ya,cuenta con portero nocturno,que
again Huaca They,great  Booking,show
who,really Huaca us,costs
so  we,kitchen,had
everything,shower,is dangerous
so  neighbors,us,is
hosts,how  customers,seem
they,it,had
Shower,bad water flow,cold
